pollster_id,pollster,methodology,numeric_grade,pollscore,sample_size,pct,party,answer
1741,ActiVote,App Panel,NA,NA,400,45.4,0,0
1741,ActiVote,App Panel,NA,NA,400,54.6,1,1
1250,Trafalgar Group,IVR/Live Phone/Text/Online Panel/Email,0.7,0.6,1084,43.3,0,0
1250,Trafalgar Group,IVR/Live Phone/Text/Online Panel/Email,0.7,0.6,1084,46.3,1,1
1741,ActiVote,App Panel,NA,NA,400,58.7,0,0
1741,ActiVote,App Panel,NA,NA,400,41.3,1,1
1741,ActiVote,App Panel,NA,NA,400,33.9,0,0
1741,ActiVote,App Panel,NA,NA,400,66.1,1,1
458,Suffolk,Live Phone,2.9,-1,1000,45.3,0,0
458,Suffolk,Live Phone,2.9,-1,1000,44.4,1,1
458,Suffolk,Live Phone,2.9,-1,1000,0.8,NA,NA
458,Suffolk,Live Phone,2.9,-1,1000,1,NA,NA
458,Suffolk,Live Phone,2.9,-1,1000,0.8,NA,NA
458,Suffolk,Live Phone,2.9,-1,1000,49.7,0,0
458,Suffolk,Live Phone,2.9,-1,1000,48.7,1,1
1697,Bullfinch,Online Panel,NA,NA,600,50,0,0
1697,Bullfinch,Online Panel,NA,NA,600,47,1,1
1697,Bullfinch,Online Panel,NA,NA,600,48,0,0
1697,Bullfinch,Online Panel,NA,NA,600,46,1,1
402,Research & Polling,Live Phone,2.1,-0.9,1024,50,0,0
402,Research & Polling,Live Phone,2.1,-0.9,1024,41,1,1
402,Research & Polling,Live Phone,2.1,-0.9,1024,3,NA,NA
509,U. North Florida,Live Phone,2.8,-0.6,977,43,0,0
509,U. North Florida,Live Phone,2.8,-0.6,977,53,1,1
383,PPP,IVR/Text,1.4,0,571,55,0,0
383,PPP,IVR/Text,1.4,0,571,40,1,1
383,PPP,IVR/Text,1.4,0,716,53,0,0
383,PPP,IVR/Text,1.4,0,716,41,1,1
1895,Quantus Insights,Online Panel,NA,NA,1045,49.4,0,0
1895,Quantus Insights,Online Panel,NA,NA,1045,48.6,1,1
1554,RMG Research,Online Panel,2.3,-0.4,788,47,0,0
1554,RMG Research,Online Panel,2.3,-0.4,788,52,1,1
1528,AtlasIntel,Online Ad,2.7,-0.8,4180,47.6,0,0
1528,AtlasIntel,Online Ad,2.7,-0.8,4180,50.7,1,1
1528,AtlasIntel,Online Ad,2.7,-0.8,4180,0.8,NA,NA
1528,AtlasIntel,Online Ad,2.7,-0.8,4180,0.1,NA,NA
1528,AtlasIntel,Online Ad,2.7,-0.8,4180,0.1,NA,NA
1528,AtlasIntel,Online Ad,2.7,-0.8,4180,48.1,0,0
1528,AtlasIntel,Online Ad,2.7,-0.8,4180,50.8,1,1
1528,AtlasIntel,Online Ad,2.7,-0.8,1440,48.6,0,0
1528,AtlasIntel,Online Ad,2.7,-0.8,1440,49.2,1,1
1528,AtlasIntel,Online Ad,2.7,-0.8,1440,0.7,NA,NA
1528,AtlasIntel,Online Ad,2.7,-0.8,1440,0.1,NA,NA
1528,AtlasIntel,Online Ad,2.7,-0.8,1440,49.3,0,0
1528,AtlasIntel,Online Ad,2.7,-0.8,1440,49.2,1,1
1528,AtlasIntel,Online Ad,2.7,-0.8,1411,48.1,0,0
